iter	Passed	Remaining
0	20	62449
1	40	60986
2	62	62026
3	81	60844
4	100	60138
5	119	59505
6	138	59275
7	160	60206
8	180	59857
9	202	60490
10	226	61465
11	248	61966
12	272	62663
13	295	63012
14	318	63447
15	347	64872
16	372	65432
17	397	65787
18	421	66100
19	447	66613
20	475	67400
21	500	67727
22	526	68092
23	551	68342
24	581	69145
25	608	69587
26	634	69889
27	660	70143
28	686	70372
29	719	71267
30	746	71505
31	771	71568
32	796	71610
33	821	71655
34	845	71667
35	874	71994
36	900	72079
37	925	72109
38	950	72170
39	975	72213
40	1001	72255
41	1026	72283
42	1051	72290
43	1076	72323
44	1101	72316
45	1126	72322
46	1151	72331
47	1178	72508
48	1203	72495
49	1231	72677
50	1256	72673
51	1282	72691
52	1307	72695
53	1332	72689
54	1360	72837
55	1391	73175
56	1416	73158
57	1442	73158
58	1467	73132
59	1492	73140
60	1518	73177
61	1549	73427
62	1574	73415
63	1598	73338
64	1624	73345
65	1650	73353
66	1674	73316
67	1699	73273
68	1728	73439
69	1753	73414
70	1778	73382
71	1801	73280
72	1829	73364
73	1852	73245
74	1882	73423
75	1907	73371
76	1928	73224
77	1953	73183
78	1977	73133
79	2005	73215
80	2030	73173
81	2055	73130
82	2076	72984
83	2110	73255
84	2139	73362
85	2172	73610
86	2201	73706
87	2230	73821
88	2258	73855
89	2278	73665
90	2305	73705
91	2333	73743
92	2361	73801
93	2386	73768
94	2413	73806
95	2440	73830
96	2471	73961
97	2502	74116
98	2530	74156
99	2557	74178
100	2583	74153
101	2614	74279
102	2645	74405
103	2672	74430
104	2700	74462
105	2728	74480
106	2752	74421
107	2782	74503
108	2810	74542
109	2836	74531
110	2863	74533
111	2890	74540
112	2918	74565
113	2945	74564
114	2972	74565
115	3003	74668
116	3032	74718
117	3065	74863
118	3090	74832
119	3117	74808
120	3143	74790
121	3170	74787
122	3199	74830
123	3226	74827
124	3251	74789
125	3278	74781
126	3305	74781
127	3330	74722
128	3356	74707
129	3385	74730
130	3411	74716
131	3436	74656
132	3462	74641
133	3489	74625
134	3519	74694
135	3545	74672
136	3573	74688
137	3600	74676
138	3627	74674
139	3655	74676
140	3681	74644
141	3708	74636
142	3737	74677
143	3762	74613
144	3787	74581
145	3816	74605
146	3842	74572
147	3871	74607
148	3896	74549
149	3918	74447
150	3940	74346
151	3969	74380
152	3997	74382
153	4028	74453
154	4057	74476
155	4081	74409
156	4105	74342
157	4132	74327
158	4157	74292
159	4183	74256
160	4204	74145
161	4229	74102
