transaction_date,transaction_id,operation_type,transaction_status,mcc,terminal_type,customer_id,transaction_sum,transaction_sum_was_missing
2026-01-01,2601010547384688,P2P Credit,Успешные,6536,ePOS,499782.0,150.0,False
2026-01-01,2601010547475905,Purchase,AUSR0401,5814,POS,315852.0,43.229999999995925,False
2026-01-01,2601010547483150,Purchase,AUSR0401,5814,POS,243982.0,3720.4199999999983,False
2026-01-01,2601010547507676,P2P Credit,Успешные,6012,ePOS,3747452.0,19500.0,False
2026-01-01,2601010547618620,Purchase,AUSR0401,5815,ePOS,820898.0,150.0,False
2026-01-01,2601010547730125,P2P Credit,Успешные,6012,POS,4131840.0,300.0,False
2026-01-01,2601010547770915,Purchase,AUSR0401,5411,POS,403446.0,1500.0,False
2026-01-01,2601010547854154,Purchase,AUSR0401,5912,POS,3984844.0,1290.0,False
2026-01-01,2601010547869413,Purchase,AUSR0401,5732,POS,3748618.0,187335.0,False
2026-01-01,2601010547869891,P2P Debit,Успешные,6538,ePOS,3748170.0,1500.0,False
