"transaction_date","transaction_id","operation_type","transaction_sum","transaction_status","mcc","terminal_type","customer_id"
2026-01-01,2601010547384688,P2P Credit,-101517.0000000000000000,Успешные,"6536",ePOS,499782.0
2026-01-01,2601010547475905,Purchase,-101623.7700000000000000,AUSR0401,"5814",POS,315852.0
2026-01-01,2601010547483150,Purchase,-97946.5800000000000000,AUSR0401,"5814",POS,243982.0
2026-01-01,2601010547507676,P2P Credit,-82167.0000000000000000,Успешные,"6012",ePOS,3747452.0
2026-01-01,2601010547618620,Purchase,-101517.0000000000000000,AUSR0401,"5815",ePOS,820898.0
2026-01-01,2601010547730125,P2P Credit,-101367.0000000000000000,Успешные,"6012",POS,4131840.0
2026-01-01,2601010547770915,Purchase,-100167.0000000000000000,AUSR0401,"5411",POS,403446.0
2026-01-01,2601010547839155,P2P Credit,-101517.0000000000000000,Успешные,"6536",,3748570.0
2026-01-01,2601010547840511,P2P Credit,-94917.0000000000000000,Успешные,"6536",,3748906.0
2026-01-01,2601010547854154,Purchase,-100377.0000000000000000,AUSR0401,"5912",POS,3984844.0
