rank,feature,mean_abs_shap
1,frequency_tx_90d,0.029112683969291515
2,unique_terminals_30d,0.016501181745582547
3,active_days_7d,0.009472466597186082
4,frequency_tx_14d,0.008864982221663627
5,frequency_tx_7d,0.008186453452975502
6,partner_purchases_count_90d,0.006160410002562103
7,frequency_tx_30d,0.005810593729608881
8,city,0.005701003120277255
9,active_days_30d,0.004681225754084273
10,channel,0.003938602025536377
11,recency_tx_90d,0.0037700987711954117
12,share_of_p2p,0.0037042818572712854
13,monetary_sum_30d,0.003687181233349378
14,customer_age,0.003552088428899462
15,mcc_share_transfers,0.003118571426833275
16,share_of_online,0.003100671546035005
17,monetary_sum_7d,0.002994801264430102
18,gender,0.002939216448162985
19,recency_tx_7d,0.0026016387880327635
20,share_of_online_was_missing,0.0025187790676189188
21,days_since_last_product_activation,0.002481635459721827
22,unique_partners_90d,0.0023052804825036246
23,imputed_share,0.0022723295444882705
24,products_count,0.002017339563434638
25,monetary_sum_14d,0.0019991075204851593
26,events_per_day_30d,0.001942735787178805
27,events_per_day_7d,0.0019171234305899343
28,monetary_sum_90d,0.0017581840051737853
29,recency_event_30d,0.0016756802724219929
30,active_days_90d,0.0016117238356169786
